SN,mjd obs,flux (mJy),RMS(mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status,type,rms(lum)
SN2018hon,58585.0,0.52,0.137,58416.26899,168.73101,0.4622767397,0.081,9.01e+28,new_VLASS,real,IIn,2.3736165369144825e+28
SN2018hon,59549.0,1.803,0.198,58416.26899,1132.73101,3.10337263,0.081,3.12e+29,new_VLASS,real,IIn,3.430482294226771e+28
SN2018hon,60480.0,0.372,0.137,58416.26899,2063.73101,5.654057562,0.081,6.45e+28,new_VLASS,real,IIn,2.3736165369144825e+28
SN2018hon,60826.70367,0.532,0.089,58416.26899,2410.43468,6.60393063,0.081,9.22e+28,25A-386 upper,upper,IIn,1.5419844655867807e+28
SN2019aur,58652.0,0.977,0.146,58526.26199,125.7380093,0.3444876966,0.0124,3.6000000000000004e+27,new_VLASS,real,IIb,5.373600831322818e+26
SN2019aur,59499.0,0.414,0.154,58526.26199,972.7380093,2.665035642,0.0124,1.52e+27,new_VLASS,real,IIb,5.668044712491192e+26
SN2019aur,60470.0,0.359,0.114,58526.26199,1943.738009,5.325309614,0.0124,1.3200000000000002e+27,new_VLASS,real,IIb,4.195825306649324e+26
SN2019aur,60840.76803,0.365,0.075,58526.26199,2314.506039,6.341112436,0.0124,1.3400000000000002e+27,25A-386 Observations,real,IIb,2.7604113859535025e+26
SN2019njv,58031.0,0.289,0.111,58707.29899,-676.29899,-1.852873945,0.01458,1.4800000000000002e+27,new_VLASS,real,IIn,5.666695487597427e+26
SN2019njv,59070.0,0.697,0.194,58707.29899,362.70101,0.9937013973,0.01458,3.5600000000000005e+27,new_VLASS,real,IIn,9.903954275620729e+26
SN2019njv,59978.0,8.017,0.698,58707.29899,1270.70101,3.48137263,0.01458,4.09e+28,new_VLASS,real,IIn,3.563381486795499e+27
SN2019njv,60823.48927,5.902,0.48,58707.29899,2116.19028,5.797781589,0.01458,3.01e+28,25A-386 Observations,real,IIn,2.4504629135556443e+27
SN2019njv,59576.533,2.056,0.34,58707.29899,868.0,2.378082192,0.01458,1.05e+28,ASKAP Observations,real,IIn,1.7357445637685816e+27
SN2019pqo,58584.0,0.367,0.125,58733.21242,-149.21242,-0.4088011507,0.01413,1.76e+27,new_VLASS,real,IIb,5.9895320375826436e+26
SN2019pqo,59533.0,0.359,0.128,58733.21242,799.78758,2.191198849,0.01413,1.7200000000000002e+27,new_VLASS,real,IIb,6.133280806484628e+26
SN2019pqo,60481.0,0.938,0.158,58733.21242,1747.78758,4.788459123,0.01413,4.49e+27,new_VLASS,real,IIb,7.570768495504462e+26
SN2019pqo,60827.12607,2.045,0.299,58733.21242,2093.91365,5.736749726,0.01413,9.800000000000001e+27,25A-386 Observations,real,IIb,1.4326960633897682e+27
SN2019wqq,58628.0,0.436,0.137,58828.4286,-199.839,-0.5475041096,0.01123,1.3300000000000002e+27,new_VLASS,real,IIb,4.128419363743459e+26
SN2019wqq,59545.0,0.45,0.152,58828.4286,717.161,1.964824658,0.01123,1.37e+27,new_VLASS,real,IIb,4.580436082401501e+26
