name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift
ZTF17aaapufz,59716.629,ZTF17aaapufz_VLASS2.1,59098.0,VLASS2.1,0.395,0.155,-618.6290000000008,LBV,0.00261
ZTF17aaapufz,59716.629,ZTF17aaapufz_VLASS3.1,59987.0,VLASS3.1,0.321,0.13,270.3709999999992,LBV,0.00261
ZTF17aaazdba,58551.609,ZTF17aaazdba_VLASS1.2v2,58587.0,VLASS1.2v,0.472,0.215,35.390999999995984,TDE,0.022
ZTF17aaazdba,58551.609,ZTF17aaazdba_VLASS2.2,59561.0,VLASS2.2,1.104,0.165,1009.390999999996,TDE,0.022
ZTF17aabtvsy,59860.869,ZTF17aabtvsy_VLASS1.2v2,58606.0,VLASS1.2v,0.458,0.135,-1254.8689999999988,SN Ia,0.06922
ZTF17aabtvsy,59860.869,ZTF17aabtvsy_VLASS2.2,59529.0,VLASS2.2,0.342,0.126,-331.8689999999988,SN Ia,0.06922
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS1.1v2,58085.0,VLASS1.1v,0.313,0.122,-1802.6290000000008,SN Ia,0.072
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS2.1,59105.0,VLASS2.1,0.321,0.155,-782.6290000000008,SN Ia,0.072
ZTF17aacldgo,59887.629,ZTF17aacldgo_VLASS3.1,60076.0,VLASS3.1,0.358,0.128,188.3709999999992,SN Ia,0.072
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS1.1v2,58102.0,VLASS1.1v,0.436,0.175,-2149.7090000000026,SN Ic,0.023
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS2.1,59077.0,VLASS2.1,0.535,0.184,-1174.7090000000026,SN Ic,0.023
ZTF17aacpbmv,60251.709,ZTF17aacpbmv_VLASS3.1,60000.0,VLASS3.1,0.438,0.173,-251.70900000000256,SN Ic,0.023
ZTF17aadlxmv,58869.569,ZTF17aadlxmv_VLASS1.2v2,58610.0,VLASS1.2v,0.265,0.115,-259.56900000000314,SN Ia,0.062
ZTF17aadlxmv,58869.569,ZTF17aadlxmv_VLASS2.2,59552.0,VLASS2.2,0.35,0.111,682.4309999999969,SN Ia,0.062
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS1.1v2,58083.0,VLASS1.1v,0.414,0.112,-816.6790000000037,SN II,0.0348
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS2.1,59048.0,VLASS2.1,0.522,0.183,148.32099999999627,SN II,0.0348
ZTF18aaaibml,58899.679,ZTF18aaaibml_VLASS3.1,59969.0,VLASS3.1,0.469,0.17,1069.3209999999965,SN II,0.0348
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS1.1v2,58032.0,VLASS1.1v,0.352,0.104,-1661.6489999999976,SN Ia,0.07141
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS2.1,59133.0,VLASS2.1,0.295,0.11,-560.6489999999976,SN Ia,0.07141
ZTF18aaaonon,59693.649,ZTF18aaaonon_VLASS3.1,59973.0,VLASS3.1,0.288,0.149,279.3510000000024,SN Ia,0.07141
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS1.1v2,58054.0,VLASS1.1v,0.302,0.113,-827.7989999999991,SN Ia,0.0702
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS2.1,59133.0,VLASS2.1,0.35,0.135,251.20100000000093,SN Ia,0.0702
ZTF18aaaqexr,58881.799,ZTF18aaaqexr_VLASS3.1,59961.0,VLASS3.1,0.409,0.138,1079.201000000001,SN Ia,0.0702
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS1.1v2,58077.0,VLASS1.1v,0.282,0.118,-1550.7490000000034,TDE,0.0284
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS2.1,59062.0,VLASS2.1,0.385,0.153,-565.7490000000034,TDE,0.0284
ZTF18aabdajx,59627.749,ZTF18aabdajx_VLASS3.1,59979.0,VLASS3.1,0.34,0.116,351.25099999999657,TDE,0.0284
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS1.1v2,58121.0,VLASS1.1v,0.302,0.132,-296.8790000000008,SN Ia,0.02169
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS2.1,59051.0,VLASS2.1,0.378,0.127,633.1209999999992,SN Ia,0.02169
ZTF18aabdgik,58417.879,ZTF18aabdgik_VLASS3.1,59969.0,VLASS3.1,0.37,0.158,1551.1209999999992,SN Ia,0.02169
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS1.1v2,58054.0,VLASS1.1v,0.366,0.111,-1952.7289999999991,TDE,
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS2.1,59133.0,VLASS2.1,0.387,0.126,-873.7289999999994,TDE,
ZTF18aabkvpi,60006.729,ZTF18aabkvpi_VLASS3.1,59961.0,VLASS3.1,0.374,0.142,-45.72899999999936,TDE,
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS1.2v2,58593.0,VLASS1.2v,0.426,0.144,384.41100000000006,SN II,0.023
ZTF18aabssth,58208.589,ZTF18aabssth_VLASS2.2,59534.0,VLASS2.2,0.395,0.123,1325.411,SN II,0.023
ZTF18aabtxvd,58213.549,ZTF18aabtxvd_VLASS1.2v2,58638.0,VLASS1.2v,0.368,0.131,424.451000000001,TDE,0.071
ZTF18aabtxvd,58213.549,ZTF18aabtxvd_VLASS2.2,59563.0,VLASS2.2,0.258,0.11,1349.451000000001,TDE,0.071
